Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1768758545,200,,Aggregated,159.300000,0.000000,7,8,8,9,10,12,27,34,50,55,58,10877,0,7,7.6045910361355205,3.284200000052806,57.51810000037949,513.9213018295486
1768758546,200,,Aggregated,159.800000,0.000000,7,8,8,9,10,12,26,34,50,55,58,11028,0,7,7.590730540447688,3.284200000052806,57.51810000037949,513.8630758070366
1768758547,200,,Aggregated,159.700000,0.000000,7,7,8,9,10,12,26,34,50,55,58,11195,0,7,7.576468083970391,3.284200000052806,57.51810000037949,514.582402858419
1768758548,200,,Aggregated,161.200000,0.000000,7,8,8,9,10,12,26,34,50,55,58,11347,0,7,7.5989304397686,3.284200000052806,57.51810000037949,514.0511148321142
1768758549,200,,Aggregated,160.300000,0.000000,7,8,8,9,10,12,26,33,50,55,58,11511,0,7,7.595388749896863,3.284200000052806,57.51810000037949,514.4522630527322
1768758550,200,,Aggregated,159.700000,0.000000,7,8,8,9,10,12,25,33,50,55,58,11664,0,7,7.613604063791909,3.284200000052806,57.51810000037949,514.4340706447188
1768758551,200,,Aggregated,159.500000,0.000000,7,8,8,9,11,13,25,33,50,55,58,11821,0,7,7.645123652826301,3.271800000220537,57.51810000037949,514.7559428136367
1768758552,200,,Aggregated,160.600000,0.000000,7,8,8,9,11,13,25,33,50,55,58,11983,0,7,7.707017508141574,3.271800000220537,57.51810000037949,514.7418843361429
1768758553,200,,Aggregated,158.800000,0.000000,7,8,8,9,11,13,25,33,50,55,58,12133,0,7,7.703489038167538,3.271800000220537,57.51810000037949,514.0377482897882
1768758554,200,,Aggregated,158.800000,0.000000,7,8,8,9,11,13,25,33,50,55,58,12299,0,7,7.68803097813488,3.271800000220537,57.51810000037949,514.8435645174404
1768758555,200,,Aggregated,158.000000,0.000000,7,8,8,9,11,13,25,33,50,55,58,12462,0,7,7.676244294662316,3.271800000220537,57.51810000037949,515.1639383726529
1768758556,200,,Aggregated,158.400000,0.000000,7,8,8,9,11,13,25,33,50,55,58,12628,0,7,7.65739881217058,3.271800000220537,57.51810000037949,515.7112765283497
1768758557,200,,Aggregated,157.500000,0.000000,7,8,8,9,11,13,24,33,50,55,58,12779,0,7,7.6407954769609825,3.271800000220537,57.51810000037949,516.1805305579467
1768758558,200,,Aggregated,157.900000,0.000000,7,8,8,9,11,13,24,33,50,55,58,12945,0,7,7.625780911554378,3.271800000220537,57.51810000037949,516.4577829277713
