Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1768758976,50,,Aggregated,40.200000,0.000000,6,7,7,8,8,9,11,13,23,27,27,4365,0,6,6.552715784643758,3.9419999993697274,26.966899999024463,522.1182130584192
1768758977,50,,Aggregated,41.200000,0.000000,6,7,7,8,8,9,11,13,23,27,27,4402,0,6,6.5472869831826115,3.9419999993697274,26.966899999024463,522.2303498409814
1768758978,50,,Aggregated,40.600000,0.000000,6,7,7,8,8,9,11,13,23,27,27,4440,0,6,6.5464277477408235,3.9419999993697274,26.966899999024463,523.0105855855855
1768758979,50,,Aggregated,40.700000,0.000000,6,7,7,8,8,9,11,13,23,27,27,4478,0,6,6.546250446622088,3.9419999993697274,26.966899999024463,523.3968289414918
1768758980,50,,Aggregated,40.900000,0.000000,6,7,7,8,8,9,11,13,23,27,27,4516,0,6,6.545534986709063,3.9419999993697274,26.966899999024463,522.8600531443756
1768758981,50,,Aggregated,39.400000,0.000000,6,7,7,8,8,9,11,13,23,27,27,4558,0,6,6.546438196573406,3.9419999993697274,26.966899999024463,523.0982887231241
1768758982,50,,Aggregated,39.700000,0.000000,6,7,7,8,8,9,11,13,23,27,27,4596,0,6,6.543495952996538,3.9419999993697274,26.966899999024463,522.288729329852
1768758983,50,,Aggregated,39.400000,0.000000,6,7,7,8,8,9,11,13,23,27,27,4632,0,6,6.541726575985378,3.9419999993697274,26.966899999024463,522.7739637305699
1768758984,50,,Aggregated,39.000000,0.000000,6,7,7,8,8,9,11,13,23,27,27,4670,0,6,6.538090813695743,3.9419999993697274,26.966899999024463,521.4948608137045
1768758985,50,,Aggregated,39.100000,0.000000,6,7,7,8,8,9,11,13,23,27,27,4713,0,6,6.5377285168599295,3.9419999993697274,26.966899999024463,521.6588160407384
1768758986,50,,Aggregated,38.800000,0.000000,6,7,7,8,8,9,11,13,23,27,27,4753,0,6,6.538297222798358,3.9419999993697274,26.966899999024463,522.8546181359142
1768758987,50,,Aggregated,38.000000,0.000000,6,7,7,8,8,9,11,13,23,27,27,4793,0,6,6.537336261207572,3.9419999993697274,26.966899999024463,522.6853745044857
1768758988,50,,Aggregated,38.900000,0.000000,6,7,7,8,8,9,11,13,23,27,27,4826,0,6,6.535186220465116,3.9419999993697274,26.966899999024463,522.282014090344
1768758989,50,,Aggregated,37.900000,0.000000,6,7,7,8,8,9,11,13,23,27,27,4868,0,6,6.536233401799847,3.9419999993697274,26.966899999024463,522.5721035332786
1768758990,50,,Aggregated,38.400000,0.000000,6,7,7,8,8,9,11,13,23,27,27,4909,0,6,6.5388236708004115,3.9419999993697274,26.966899999024463,522.0291301690772
1768758991,50,,Aggregated,39.200000,0.000000,6,7,7,8,8,9,11,13,23,27,27,4945,0,6,6.535098584421368,3.9419999993697274,26.966899999024463,521.4837209302326
1768758992,50,,Aggregated,38.800000,0.000000,6,7,7,8,8,9,11,13,23,27,27,4990,0,6,6.531962424843935,3.9419999993697274,26.966899999024463,522.07875751503
1768758993,50,,Aggregated,38.600000,0.000000,6,7,7,8,8,9,11,13,21,27,27,5031,0,6,6.529949016093929,3.9419999993697274,26.966899999024463,522.2780759292388
1768758994,50,,Aggregated,38.900000,0.000000,6,7,7,8,8,9,11,13,21,27,27,5067,0,6,6.525766153536937,3.9419999993697274,26.966899999024463,522.3907637655417
1768758995,50,,Aggregated,38.600000,0.000000,6,7,7,8,8,9,11,13,21,27,27,5107,0,6,6.525831858227957,3.9419999993697274,26.966899999024463,522.1582142157822
1768758996,50,,Aggregated,39.300000,0.000000,6,7,7,8,8,9,11,13,21,27,27,5148,0,6,6.527007420351582,3.9419999993697274,26.966899999024463,522.4129759129759
1768758997,50,,Aggregated,39.400000,0.000000,6,7,7,8,8,9,11,13,21,27,27,5185,0,6,6.529339209250438,3.9419999993697274,26.966899999024463,522.0856316297011
